,vehicle_count,average_speed,lane_occupancy,flow_rate,time_of_day,waiting_time
0,54,10.21610042572172,59.92021794077329,1467,evening,12.524457654735297
1,75,63.642159807277295,87.63482129971159,1098,afternoon,44.828142436957634
2,95,37.38076003505957,0.76582305290257,1411,night,80.43842579813207
3,87,59.812086478733825,75.96124576725738,892,evening,11.263687396074129
4,38,48.431820611309945,43.52847751132492,949,night,18.141548704503393
5,36,62.27968757478156,12.406016385025842,1223,evening,2.747429600346722
6,96,49.780697944782055,58.24577391535629,712,morning,10.479951710132456
7,87,25.05420155383369,53.26149235804728,779,morning,23.705777393187528
8,69,17.807287890432256,84.2308038142738,714,evening,5.96040956261912
9,110,23.069130554255402,52.1562743100951,831,evening,23.101013389039572
10,111,27.734341014821812,82.73518700680273,1452,night,11.2574458566156
11,113,58.76765275021795,54.448924622808384,938,night,138.29978543787323
12,98,69.20409835393603,44.69455833460108,1389,evening,14.134310183077828
13,117,43.77437405754377,37.11839006616762,904,evening,1.1951814218100016
14,95,32.075512063634235,17.369743820500883,609,night,19.214044374972147
15,33,50.609776285710645,58.40308804431304,941,evening,12.194961534349119
16,71,10.528065367601606,54.42502855142616,892,morning,13.86241980772841
17,106,62.38552379876185,97.57396515980665,1237,night,13.88648292892929
18,99,48.569828570700594,41.24088007616159,1420,morning,63.90187872926135
19,39,51.474369484719276,42.15232630947271,1216,night,20.690469807302883
20,73,39.26742604786211,16.38713849693091,602,evening,8.744318623458515
21,104,37.522759025980925,59.75715546021587,748,afternoon,47.17923340401922
22,37,17.012348335082322,84.78522690371263,1440,night,17.57975770497739
23,119,67.35718396387432,24.792316458470697,902,night,4.712092449578243
24,106,24.79368334325295,0.9077900645225845,1121,afternoon,195.0351552530388
25,99,35.58340461180054,69.1473623345854,883,afternoon,0.8321696882195796
26,63,31.04324124083616,3.1373791651793326,578,morning,37.05708224167691
27,68,66.6567747157433,40.92762993200161,891,evening,56.42883398741575
28,121,38.313682406406876,61.27103377250337,1255,afternoon,13.100004668876746
29,54,69.26811893897099,38.601171714469885,746,night,5.135872410593119
30,54,61.658610146831734,26.057821618344224,521,afternoon,17.21072577850663
31,44,31.113583297423112,79.92665079525295,917,afternoon,19.761048963268145
32,35,47.9770280083372,30.09331980998552,573,evening,243.70558525159134
33,100,16.06853479818475,18.004679332455844,1106,evening,0.5897286963633248
34,44,57.989979724928354,38.83967050038217,517,morning,32.003289180595715
35,79,36.891956561188735,13.166490012596,1412,evening,48.95797242690454
36,112,28.87689187370475,69.03969779917355,1276,morning,28.862510325720862
37,64,44.52476880260856,71.00804155028703,1454,afternoon,29.8220090512797
38,102,40.71895161880344,1.4778593127463435,884,morning,62.457946081881026
39,87,55.6531557831319,69.48664925444432,521,morning,24.984034504654993
40,129,87.9983918709519,29.898733955333256,650,evening,64.00688527415174
41,127,76.45067912758793,65.62035938854207,829,afternoon,7.078729140461389
42,106,26.125856563728405,70.64840359093535,515,morning,21.777713695449453
43,120,80.70510298772223,27.77814268685489,719,afternoon,1.0252005638486659
44,56,50.93596282567202,18.53856066096401,1139,night,48.81026493547452
45,84,0.0,82.63589218409707,1166,night,45.055810840992685
46,40,45.456422786972475,73.91842793728014,765,night,23.233313975564165
47,76,18.83897219116333,83.7142339887227,825,afternoon,15.116648524203626
48,51,41.238425370300334,43.571987323860526,550,night,13.866402201148933
49,66,88.17166410212536,45.63687848807443,761,evening,6.735929142988799
50,70,23.790575167134193,34.41671682845588,866,afternoon,16.752683137255282
51,80,23.202279359939038,49.906246385595445,1268,night,10.868257825019999
52,78,48.031755052603025,64.65700551143536,1380,night,25.859163165674136
53,60,33.646835465380406,81.45449344574303,1468,morning,46.321208484619646
54,56,44.88835718946059,18.317063548464795,1486,afternoon,35.53850668760372
55,52,52.17397294681522,40.54176304912948,743,night,21.643637997538647
56,30,20.386968815469338,46.120163637487956,939,afternoon,89.04567000516961
57,105,54.56748611300511,48.799455012193725,958,afternoon,6.594121157157042
58,118,34.776768146931744,54.197290951699614,655,evening,30.647293607141354
59,89,71.4433169831941,80.17472543167167,720,night,2.764844276177149
60,85,32.528931364862956,88.62505787304359,1425,evening,33.535055242576846
61,98,35.77498470684567,15.915766944458076,1272,night,38.766183793039275
62,42,31.37574976716724,71.26818415417085,1319,afternoon,45.782828135465806
63,40,41.713992958133716,47.91082459018615,627,afternoon,32.697888209935066
64,74,21.175467252044733,41.77167127453072,698,afternoon,3.924515270143429
65,74,60.44254651625233,11.3343159116857,703,afternoon,1.359100687048415
66,50,39.455099618990744,6.413575154778295,901,night,37.58035816957242
67,40,66.2376832522229,97.78109773071061,810,morning,48.01919570449492
68,104,51.17163162675894,64.23685226226779,513,afternoon,0.9955704873857075
69,57,84.24418512208341,45.24258828932568,1185,night,4.873180031003102
70,39,44.837313809022405,76.17635053011077,1036,afternoon,46.860389789589945
71,119,42.84475757371706,9.11327325212965,1290,morning,103.09997295557106
72,41,61.77121861016776,60.744639193266615,540,night,22.052630569904416
73,73,8.47195071552217,66.06115907661756,1097,afternoon,4.992683054768425
74,38,40.405714341618236,45.20549039010393,531,evening,11.62566237797656
75,45,48.261999066938856,25.259861835983944,912,morning,45.618531094700295
76,116,64.48844495816024,95.45848893545269,772,evening,23.506968801233803
77,115,68.60762630893424,30.113490001700306,554,evening,1.7859781062449125
78,128,72.3821183307827,12.479693236309009,797,afternoon,11.063262502644953
79,37,44.098831210761915,63.047357764156274,1085,evening,41.9256452743648
80,119,35.26536594355726,57.43229720257723,642,night,11.826018012432531
81,96,51.177271817217765,75.47725383068065,1223,morning,16.986334288941844
82,33,44.6775907220335,75.37831322940401,586,night,70.63191565064092
83,104,16.501878196194212,62.02359428794699,682,evening,125.28548460230213
84,103,53.27994991533651,20.753529485240975,881,night,42.46582521125854
85,57,31.701676863727414,88.71455421972362,900,morning,8.238071007905015
86,111,45.444515287595344,24.82830050432272,1368,evening,8.357551770268948
87,107,44.22857034792197,9.3984288443691,1350,morning,10.883633868608888
88,37,92.83095353762408,30.149912399489853,716,afternoon,5.2504376490400455
89,74,67.98933260991096,48.32321991509686,878,afternoon,5.910846209756834
90,40,62.81921380832161,20.71826471845155,1089,night,8.87100872278802
91,117,69.43939665133459,33.367166865292354,707,night,32.35425734978489
92,118,43.07962418249959,51.36931921327387,1383,evening,28.43880330613626
93,78,25.1218298047579,32.29394285497717,1185,evening,12.506479500519088
94,97,6.781908176327917,8.931735148082065,543,afternoon,6.569598326238138
95,131,60.818237153229035,19.721351683905255,916,afternoon,29.34673149060727
96,78,61.079521606531365,79.42068787736928,861,morning,4.207998954477149
97,94,34.8014151650068,95.43316189339762,1088,afternoon,4.743378007024968
98,112,37.25746545074322,14.843688917021547,545,afternoon,14.504426466176154
99,76,33.97814346727248,68.1019052452521,1142,morning,25.13618229188548
100,53,34.017789143968784,90.55797753564362,779,afternoon,39.090464367684106
101,65,39.912244214199106,29.914285931662242,812,night,34.8446745243533
102,37,56.72187607171073,82.94617347548876,671,morning,14.266257460393573
103,114,71.2413748220461,90.49357713786898,1278,afternoon,31.896109945322916
104,86,49.52555889299595,29.949789040732888,547,morning,7.122859505231361
105,113,75.32709514208918,5.674081008278975,856,afternoon,20.421442363302283
106,123,97.42821425847343,91.67930884572594,1028,afternoon,28.6570244652023
107,30,57.9886608388176,33.048267445096116,1127,evening,40.92493458310077
108,125,48.76878443141715,1.373805698436159,1475,morning,2.488054514435969
109,76,3.4747426364774157,47.491977519834705,1201,night,3.198882008143422
110,137,62.0811601221579,11.587658081160413,1161,afternoon,2.301653142082385
111,76,51.24969383503699,90.17018747161654,1210,night,23.720751428410143
112,37,51.75121888731823,15.499542839681201,849,evening,25.322917751059673
113,31,45.545404510548366,30.441880484258743,865,night,0.3322952221206124
114,119,41.304281423676436,79.04501709018685,535,evening,32.074594940596704
115,13,30.019613702277084,80.63469702926727,1297,morning,43.23195979437794
116,86,66.15088657367887,90.12799886683479,545,evening,3.719654125150565
117,120,0.0,49.73961569356587,917,afternoon,12.34421402494013
118,72,58.86798357015846,98.67206290471721,1359,evening,56.908025788761954
119,74,19.68520534504407,51.61890057877115,684,morning,34.86574515124152
120,72,75.58138381562733,79.0707791608025,913,morning,10.899928620229527
121,87,43.34610379329588,36.19024158852088,804,afternoon,40.67212456784277
122,82,61.18922636182459,94.12913163002156,570,afternoon,65.48213519133971
123,134,53.827368900786844,68.50162266523367,1453,night,11.10236223417462
124,61,73.89365886729202,7.709825166440265,1457,afternoon,34.58733732772153
125,115,86.89957379092033,10.851982880567467,1324,evening,2.9422614115448193
126,89,73.18787029207395,89.08105511485485,856,afternoon,1.8142563766216655
127,33,62.372597261344154,80.95585124749371,1300,night,26.475331382638718
128,102,44.324464699605464,33.00942398207937,1312,afternoon,20.343266891271387
129,84,59.70748029656523,52.15959636826655,583,night,49.83587880347036
130,31,70.57171467048883,85.27484378143086,529,afternoon,45.46248329963735
131,42,42.27958060450268,10.343110414574518,1477,morning,10.135411239845583
132,121,51.36557480115448,13.813942156566327,1223,afternoon,21.5393320954831
133,101,34.751020499242564,71.55269386946938,705,evening,42.290151490071764
134,57,67.3388135716878,8.220548244247661,522,morning,9.480501455914586
135,63,60.02634240280082,35.2566496353807,1171,afternoon,13.480692073374044
136,119,24.59090233789408,25.18083221524866,596,afternoon,1.8519054229783491
137,37,56.7581269699745,76.02858946028051,1482,morning,4.194714854935813
138,67,46.09071267366887,0.2447873596323702,1174,morning,28.26521120677656
139,66,52.54352457191425,11.53847169618939,1191,morning,20.600118702655593
140,69,35.99626618410754,9.900754100078524,1305,evening,5.538990473930286
141,111,76.35098966360894,31.807705190126622,837,afternoon,0.21923519952962514
142,52,36.898825767700494,23.24794989887009,1288,night,5.554960931121534
143,79,92.51073356023764,22.828278513268717,1449,afternoon,41.54565647427768
144,49,52.99508929463977,37.03932613180048,1086,afternoon,2.9509614291221036
145,60,44.1289191577884,21.404897748667118,879,morning,15.447487791050673
146,77,58.97894733236419,10.621418868654342,1334,night,8.185341927904176
147,108,56.18232648617988,58.32512643365158,1352,afternoon,23.915035011329547
148,27,89.59260648829802,95.1737697020116,1279,afternoon,21.495688408334722
149,69,59.29281225636922,60.71649270381896,614,morning,122.1543792060719
150,36,12.91263300965116,75.70206706298457,1439,afternoon,44.468312841094495
151,66,37.31273141127703,97.21768391921034,1323,evening,83.57851914861929
152,61,66.2064456840699,15.316264515857414,992,afternoon,25.879532516546874
153,105,46.52453906158677,45.98099720888725,905,evening,40.1572991300996
154,58,39.95827699031841,58.184735753423546,971,morning,67.63573418499408
155,53,36.59126644609916,32.21128266256043,1411,afternoon,1.2581472880855626
156,40,31.600179776423396,61.31294785366633,785,evening,74.1124289749422
157,67,55.09198947181603,62.38204901609797,1211,afternoon,7.138972164478894
158,63,36.697864617397975,84.22292362669467,666,morning,36.62503553682354
159,101,76.89590691503702,83.25153826596379,1049,morning,44.52924396441291
160,105,33.42198361657027,14.252193884991993,562,afternoon,3.473303993631432
161,42,23.952485027097488,16.88918902206067,524,morning,91.79206961963054
162,57,49.61954973403988,22.237198779252033,530,evening,78.33825544085236
163,87,9.28747146650391,26.12302310286605,1228,morning,31.887462380475707
164,69,1.8777864490053346,56.449340724372234,1231,morning,5.064247378378369
165,41,62.49266688328732,32.74903408562315,1134,evening,25.04481751935841
